                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.58857,                 1.0265,                 0.3472,                0.81463,                0.93744,                0.76628,                0.81965,                0.64237,                 0.7913,                0.72732,                0.74308,                0.48122,                0.49189,                0.83764,                0.30971,                 0.8127,             0.00018575,             0.00018575,             0.00018575
                     89,                0.59558,                 1.0286,                 0.3489,                0.81521,                 0.9434,                0.76113,                0.81344,                0.64476,                0.83852,                0.70186,                0.74161,                0.47759,                0.49427,                0.82593,                 0.3115,                0.81258,             0.00017338,             0.00017338,             0.00017338
                     90,                0.58835,                 1.0309,                0.34744,                0.81453,                0.93134,                0.77037,                 0.8236,                0.64902,                0.86011,                0.68366,                 0.7337,                0.46371,                0.48939,                0.83197,                0.31031,                0.81271,               0.000161,               0.000161,               0.000161
                     91,                0.56644,                 1.0441,                0.33979,                0.81312,                0.91117,                 0.7747,                0.82733,                0.65589,                0.80525,                0.71585,                0.73535,                0.47065,                0.50702,                0.83493,                0.31744,                0.81406,             0.00014862,             0.00014862,             0.00014862
                     92,                 0.5582,                 1.0481,                0.33718,                0.81299,                0.92539,                0.76113,                 0.8276,                0.64294,                0.78785,                 0.7177,                0.72831,                0.46662,                0.49805,                0.84021,                0.31407,                 0.8136,             0.00013625,             0.00013625,             0.00013625
                     93,                 0.5566,                 1.0408,                0.33413,                0.81229,                0.94976,                 0.7643,                0.82693,                0.64574,                0.80973,                0.72319,                0.74399,                0.46214,                0.50241,                0.84035,                0.31209,                0.81319,             0.00012387,             0.00012387,             0.00012387
                     94,                0.54879,                 1.0368,                0.33301,                 0.8101,                0.94737,                0.76787,                0.82404,                0.64858,                0.81003,                0.71474,                0.73141,                0.45707,                0.49336,                0.83592,                0.30737,                0.81292,              0.0001115,              0.0001115,              0.0001115
                     95,                0.54459,                 1.0287,                0.32823,                0.80924,                0.93652,                0.76511,                0.82263,                0.64394,                0.81809,                0.71751,                0.74194,                0.47726,                0.48792,                0.82294,                0.30957,                0.81257,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.54484,                 1.0281,                0.32724,                0.81109,                0.95217,                 0.7565,                0.82318,                0.65568,                 0.8121,                0.70587,                0.73142,                0.46286,                0.48641,                0.83168,                0.30649,                0.81118,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                  0.543,                 1.0274,                0.32797,                0.80995,                0.95738,                0.75965,                 0.8228,                0.65165,                 0.8198,                0.70545,                0.74213,                0.45934,                0.49233,                0.84482,                0.30696,                0.81174,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.53321,                 1.0277,                0.32246,                0.81144,                0.95737,                0.76849,                0.82951,                 0.6549,                0.84687,                0.70778,                0.74986,                0.47482,                 0.4838,                0.82456,                0.30342,                 0.8117,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.53209,                 1.0231,                0.32205,                0.80859,                0.97029,                0.76877,                0.82679,                0.65581,                0.85004,                0.71729,                0.75196,                0.47018,                0.48381,                0.82553,                0.30366,                0.81162,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.53035,                  1.015,                0.32064,                0.80776,                0.97845,                0.76849,                0.83415,                0.65881,                0.84339,                0.71947,                 0.7487,                0.46183,                0.48391,                0.83005,                0.30251,                0.81117,              3.725e-05,              3.725e-05,              3.725e-05
