                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.20802,                 4.5985,                0.23498,                0.19764,                 1.0311,                0.99897,                      1,                  0.995,                0.96299,                0.70115,                0.70175,                0.61845,                 0.2009,                0.40256,                 4.6242,                0.32163,                0.37815,                 0.8073,              0.0017109,              0.0017109,              0.0017109
                     76,                0.19889,                 4.8843,                0.23216,                0.19198,                 1.0245,                0.99856,                      1,                  0.995,                0.97244,                0.49051,                0.49123,                0.33672,                0.09059,                0.38569,                 5.5146,                0.31681,                0.32161,                0.77555,               0.001707,               0.001707,               0.001707
                     77,                0.20522,                 4.8953,                  0.235,                0.20094,                 1.0011,                0.99832,                      1,                  0.995,                0.94182,                0.57798,                0.57895,                0.46029,                0.14319,                0.40952,                 4.2654,                0.31609,                0.37707,                0.83206,               0.001703,               0.001703,               0.001703
                     78,                0.20326,                 4.7154,                 0.2289,                0.19963,                 1.0027,                0.99898,                      1,                  0.995,                0.94231,                0.52577,                0.52632,                0.35482,                0.10795,                0.36283,                 4.5065,                 0.3061,                0.39042,                0.77615,               0.001699,               0.001699,               0.001699
                     79,                0.20738,                 4.5471,                0.23812,                0.20203,                 1.0177,                0.99894,                      1,                  0.995,                0.96834,                0.56078,                 0.5614,                0.42696,                0.14974,                0.36372,                 4.4625,                0.31381,                0.34077,                 0.7771,              0.0016951,              0.0016951,              0.0016951
                     80,                 0.2177,                 4.8067,                0.23439,                0.21498,                0.99239,                0.99901,                      1,                  0.995,                0.96645,                0.68353,                0.68421,                0.57796,                0.19192,                0.34666,                 4.3108,                  0.301,                0.39872,                0.77671,              0.0016911,              0.0016911,              0.0016911
                     81,                0.19329,                  4.589,                0.22688,                0.20443,                0.99238,                0.99905,                      1,                  0.995,                0.97429,                0.70122,                0.70175,                0.61191,                 0.2103,                0.33549,                 4.2199,                0.28842,                0.34041,                 0.7349,              0.0016872,              0.0016872,              0.0016872
                     82,                0.19351,                 4.0051,                0.22374,                0.20019,                 1.0131,                0.99903,                      1,                  0.995,                0.96409,                0.70173,                0.70175,                 0.6085,                 0.2979,                0.32255,                 3.7645,                0.28138,                0.42464,                0.70798,              0.0016832,              0.0016832,              0.0016832
                     83,                0.19279,                 3.9556,                0.22227,                0.19679,                 1.0011,                 0.9986,                      1,                  0.995,                0.96783,                0.64869,                0.64912,                0.57218,                0.23279,                0.33282,                 4.1524,                0.27726,                0.45555,                0.71818,              0.0016792,              0.0016792,              0.0016792
                     84,                0.20609,                 4.0941,                0.21804,                0.19428,                0.99693,                0.99908,                      1,                  0.995,                0.97079,                0.70136,                0.70175,                 0.6304,                0.29193,                0.31376,                 3.9109,                 0.2656,                0.50086,                 0.6717,              0.0016753,              0.0016753,              0.0016753
                     85,                0.18779,                 4.1283,                0.21894,                0.18573,                 1.0006,                0.99906,                      1,                  0.995,                0.96438,                0.78918,                0.78947,                0.73564,                0.28386,                0.32913,                 3.6858,                0.26877,                0.41315,                 0.7006,              0.0016713,              0.0016713,              0.0016713
